Date,Open,High,Low,Close,Adj_Close,Volume,SMA_20,EMA_20,Volatility_20
3/27/2000,3.8125,4.15625,3.8125,4.125,4.125,3675600,30.45218843,4.13,0.8999580535269136
3/28/2000,4.125,4.125,4,4.015625,4.015625,1077600,30.45218843,4.114583333333333,0.8999580535269136
3/29/2000,4,4.03125,3.953125,4,4,437200,30.45218843,4.103670634920634,0.8999580535269136
3/30/2000,4,4,3.84375,3.84375,3.84375,1883600,30.45218843,4.078916288737717,0.8999580535269136
3/31/2000,3.734375,3.734375,3.390625,3.390625,3.390625,7931600,30.45218843,4.013364737429363,0.8999580535269136
4/3/2000,3.5,3.703125,3.4375,3.4375,3.4375,11486800,30.45218843,3.9585204767218047,0.8999580535269136
4/4/2000,3.53125,3.578125,3.09375,3.5,3.5,13136800,30.45218843,3.914851859891157,0.8999580535269136
4/5/2000,3.46875,3.5625,3.453125,3.484375,3.484375,6349600,30.45218843,3.873854063711047,0.8999580535269136
4/6/2000,3.5,3.59375,3.46875,3.578125,3.578125,7181200,30.45218843,3.8456893909766614,0.8999580535269136
4/7/2000,3.59375,3.8125,3.59375,3.609375,3.609375,13904800,30.45218843,3.8231832585026937,0.8999580535269136
4/10/2000,3.6875,3.75,3.625,3.640625,3.640625,5280800,30.45218843,3.8057967576929137,0.8999580535269136
4/11/2000,3.578125,3.65625,3.5625,3.578125,3.578125,6590000,30.45218843,3.7841137331507313,0.8999580535269136
4/12/2000,3.546875,3.640625,3.53125,3.578125,3.578125,8546400,30.45218843,3.764495758564947,0.8999580535269136
4/13/2000,3.578125,3.65625,3.578125,3.613275,3.613275,6874400,30.45218843,3.7500937815587614,0.8999580535269136
4/14/2000,3.609375,3.625,3.53125,3.609375,3.609375,2626000,30.45218843,3.7366919928388795,0.8999580535269136
4/17/2000,3.578125,3.609375,3.515625,3.5625,3.5625,2992000,30.45218843,3.720102279235177,0.8999580535269136
4/18/2000,3.609375,3.625,3.484375,3.515625,3.515625,2896000,30.45218843,3.7006282526413505,0.8999580535269136
4/19/2000,3.5625,3.65625,3.5625,3.59375,3.59375,4662400,30.45218843,3.6904493714374125,0.8999580535269136
4/20/2000,3.578125,3.6875,3.5625,3.65625,3.65625,4558800,30.45218843,3.687192288443373,0.8999580535269136
4/24/2000,3.59375,3.65625,3.53125,3.5625,3.5625,3815200,3.64472625,3.675316832401147,0.19707872399704296
4/25/2000,3.578125,3.78125,3.46875,3.765625,3.765625,4635600,3.6267575,3.683917610267705,0.16470972215497304
4/26/2000,3.78125,4.125,3.75,3.828125,3.828125,5321200,3.6173825,3.6976516473850665,0.1456437043781845
4/27/2000,3.765625,3.765625,3.640625,3.703125,3.703125,4085200,3.60253875,3.698172919062679,0.11688468689802783
4/28/2000,3.6875,3.75,3.625,3.75,3.75,3539200,3.59785125,3.70,0.10826407058031036
5/1/2000,3.75,3.75,3.609375,3.6875,3.6875,4310000,3.612695,3.7016222761488144,0.10
5/2/2000,3.65625,3.6875,3.609375,3.640625,3.640625,2684400,3.62285125,3.695813011753689,0.09
5/3/2000,3.546875,3.640625,3.515625,3.5625,3.5625,4164400,3.62597625,3.683116534443814,0.09
5/4/2000,3.59375,3.6875,3.5625,3.6875,3.6875,3610400,3.6361325,3.683534007353927,0.08
5/5/2000,3.71875,3.84375,3.71875,3.78125,3.78125,1710800,3.64628875,3.6928402923678387,0.08
5/8/2000,3.84375,3.90625,3.796875,3.8125,3.8125,1435600,3.656445,3.704236454999473,0.09
5/9/2000,3.859375,3.875,3.75,3.75,3.75,1343600,3.66191375,3.708594887856666,0.09
5/10/2000,3.75,3.84375,3.71875,3.796875,3.796875,775200,3.67285125,3.7170025175846026,0.10
5/11/2000,3.796875,3.875,3.6875,3.734375,3.734375,2287200,3.68066375,3.7186570397194023,0.10
5/12/2000,3.734375,3.921875,3.734375,3.921875,3.921875,768400,3.69609375,3.738011131174697,0.10771472492403429
5/15/2000,3.875,4.21875,3.875,4.09375,4.09375,1328400,3.7203125,3.7718910234437737,0.13752055767373308
5/16/2000,4.125,4.234375,4.078125,4.125,4.125,1263600,3.7484375,3.805520449782462,0.15933629560989543
5/17/2000,4.125,4.125,3.953125,4,4,2517200,3.77265625,3.8240423117079416,0.15889819996558288
5/18/2000,4,4.03125,3.859375,3.890625,3.890625,2078800,3.7875,3.830383520116709,0.15512754726692593
5/19/2000,3.890625,3.90625,3.828125,3.828125,3.828125,630400,3.79609375,3.830168422962737,0.1522071545181528
